,Fecha,Consumo
0,2009-01-01,11563789.019781616
1,2009-02-01,8550169.396258423
2,2009-03-01,6758467.178719992
3,2009-04-01,7445560.032597352
4,2009-05-01,8257061.303925596
5,2009-06-01,10739966.265619665
6,2009-07-01,11575164.562362801
7,2009-08-01,13981162.597519323
8,2009-09-01,14926687.884379791
9,2009-10-01,17181248.58877472
10,2009-11-01,12947651.285953995
11,2009-12-01,6615975.134933295
12,2010-01-01,5865498.07088086
13,2010-02-01,6033568.754987396
14,2010-03-01,4931915.529062152
15,2010-04-01,6375794.476069939
16,2010-05-01,6916109.042900059
17,2010-06-01,6098485.9688665075
18,2010-07-01,13820444.644898405
19,2010-08-01,14856589.081695316
20,2010-09-01,3798255.170771399
21,2010-10-01,6593566.651736583
22,2010-11-01,6200557.836583137
23,2010-12-01,5390511.35620179
24,2011-01-01,5665371.480405453
25,2011-02-01,5004207.325620055
26,2011-03-01,4895456.818691423
27,2011-04-01,5666655.891680664
28,2011-05-01,5849238.550391473
29,2011-06-01,6772653.9539566
30,2011-07-01,10587656.683592897
31,2011-08-01,11763113.395816062
32,2011-09-01,9233600.036450258
33,2011-10-01,8505746.477082402
34,2011-11-01,4061935.734796366
35,2011-12-01,2813563.516469511
36,2012-01-01,2773144.3848296735
37,2012-02-01,2772348.5105162053
38,2012-03-01,2698765.5789127643
39,2012-04-01,2866490.229590241
40,2012-05-01,2814952.0512587237
41,2012-06-01,3059460.1112688584
42,2012-07-01,8861539.350357378
43,2012-08-01,18186045.742483072
44,2012-09-01,17328242.404183336
45,2012-10-01,9213912.565412998
46,2012-11-01,9656647.1597595
47,2012-12-01,4842656.71975707
48,2013-01-01,5538984.812698164
49,2013-02-01,6271672.7849277835
50,2013-03-01,9161599.555906003
51,2013-04-01,9419764.315072188
52,2013-05-01,15984078.25422958
53,2013-06-01,14967750.892290771
54,2013-07-01,18919487.96926157
55,2013-08-01,18633105.33481996
56,2013-09-01,13770579.123647688
57,2013-10-01,12727912.541806556
58,2013-11-01,6600541.168904673
59,2013-12-01,12995619.6195422
60,2014-01-01,10432631.685316343
61,2014-02-01,11906004.230334751
62,2014-03-01,11629976.812737087
63,2014-04-01,10401350.262775525
64,2014-05-01,13420213.430688085
65,2014-06-01,16243710.249880563
66,2014-07-01,20618299.18630501
67,2014-08-01,19504435.789990764
68,2014-09-01,18073411.133947477
69,2014-10-01,18233806.931691013
70,2014-11-01,19213690.12538439
71,2014-12-01,16536349.938177379
72,2015-01-01,17445652.630261905
73,2015-02-01,17821988.41002479
74,2015-03-01,15725549.143667307
75,2015-04-01,14585474.529122293
76,2015-05-01,16288445.690837363
77,2015-06-01,15394978.503096275
78,2015-07-01,19905846.850558143
79,2015-08-01,18104995.19955231
80,2015-09-01,19863509.16527175
81,2015-10-01,11097845.35874271
82,2015-11-01,15419731.768457025
83,2015-12-01,14241683.419603474
